ID,Title,Author,Date,Results
item_KNJ5AST7,Effect of oxygenation modalities among patients with postoperative respiratory failure: a pairwise and network meta-analysis of randomized controlled trials.,Yazan Zayed,2020,"RESULTS: Nine RCTs representing 1865 patients were included (the mean age was 61.6  10.2 and 64.4 were males). In comparison with standard oxygen, NIV was associated with a significant reduction in intubation rate (OR 0.23; 95 Cr.I. 0.10-0.46), mortality (OR 0.45; 95 Cr.I. 0.27-0.71), and intensive care unit (ICU)-acquired infections (OR 0.43, 95 Cr.I. 0.25-0.70). Compared to standard oxygen, HFNC was associated with a significant reduction in intubation rate (OR 0.28, 95 Cr.I. 0.08-0.76) and ICU-acquired infections (OR 0.41; 95 Cr.I. 0.20-0.80), but not mortality (OR 0.58; 95 Cr.I. 0.26-1.22). There were no significant differences between HFNC and NIV regarding different outcomes. In a subgroup analysis, we observed a mortality benefit with NIV over standard oxygen in patients undergoing cardiothoracic surgeries but not in abdominal surgeries. Furthermore, in comparison with standard oxygen, NIV and HFNC were associated with lower intubation rates following cardiothoracic surgeries while only NIV reduced the intubation rates following abdominal surgeries."
item_HI4XTNB5,Effectiveness of preoxygenation strategies: a systematic review and network meta-analysis.,Clistenes Cristian de Carvalho,2024 Jul,"RESULTS: We included 52 studies of 3914 patients. High-flow nasal oxygen with patients in a head-up position was most likely to be associated with a prolonged safe apnoea time when compared with other strategies, with a mean difference (95 credible interval) of 291 (138-456) s and 203 (79-343) s compared with preoxygenation with a facemask in the supine and head-up positions, respectively. Subgroup analysis of studies without apnoeic oxygenation also showed high-flow nasal oxygen in the head-up position as the highest ranked technique, with a statistically significantly delayed mean difference (95 credible interval) safe apnoea time compared with facemask in supine and head-up positions of 222 (63-378) s and 139 (15-262) s, respectively. High-flow nasal oxygen was also the highest ranked technique for increased Formula: see text at the end of preoxygenation. However, the incidence of arterial desaturation was less likely to occur when a facemask with pressure support was used compared with other techniques, and Formula: see text was most likely to be lowest when preoxygenation took place with patients deep breathing in a supine position."
item_F68HCA2C,Effects of non-invasive respiratory support in post-operative patients: a systematic review and network meta-analysis.,Tommaso Pettenuzzo,2024 May 8,"RESULTS: Thirty-three studies (11,292 patients) were included. Among all NRS modalities, only NIV reduced the re-intubation rate, compared to COT (odds ratio 0.49, 95 confidence interval 0.28; 0.87, p  0.015, I(2)  60.5, low certainty of evidence). In particular, this effect was observed in patients receiving NIV for treatment, while not for prevention, of post-extubation respiratory failure, and in patients at high, while not low, risk of post-extubation respiratory failure. NIV reduced the rate of nosocomial pneumonia, ICU length of stay, and ICU, hospital, and long-term mortality, while not worsening patient discomfort"
item_78FAV3BS,Efficacy of high flow nasal oxygenation against hypoxemia in sedated patients receiving gastrointestinal endoscopic procedures: A systematic review and meta-analysis.,Kuo-Chuan Hung,2022 May,"RESULTS: Medline, Google scholar, Cochrane Library, and EMBASE databases were searched from inception to July 2021. Seven randomized controlled trials (RCTs) involving 2998 patients published from 2019 to 2021 were included. All GEPs were performed under propofol sedation. Pooled results revealed significantly lower risks of hypoxemia relative risk (RR)  0.31, 95 CI:0.13-0.75; 2998 patients, severe hypoxemia (RR  0.38, 95 CI:0.2-0.74; 2766 patients), other airway interventions (RR  0.34, 95 CI:0.22-0.52; 2736 patients), procedural interruption (RR  0.12, 95 CI:0.02-0.64, 451 patients) and a lower CO(2) level standard mean difference (MD)  -0.21, 95 CI: -0.4 to -0.03; 458 patients in HFNO group compared to control group. Subgroup analysis focusing on risk of hypoxemia showed no significant subgroup effects, indicating consistent benefits of HFNO in different clinical settings. There were no difference in minimum SpO(2) (p  0.06; 262 patients), risk of hypercapnia (p  0.09; 393 patients), need for jaw thrust (p  0.28; 2256 patients), and procedure time (p  0.41, 1004 patients) between the two groups. "
item_D9YX32FZ,Efficacy of High-Flow Nasal Cannula versus Conventional Oxygen Therapy in Obese Patients during the Perioperative Period: A Systematic Review and Meta-Analysis,Rong Zhou,2022/9/20,"Results. Twelve trials with 798 obese patients during the perioperative period were included. Compared with COT, HFNC reduced the incidence of hypoxemia (RR, 0.60; 95 CI, 0.43 to 0.83; P  0.002 ; I2  24; 8 RCTs; n  458), increased the lowest SpO2 (MD, 2.88; 95 CI, 1.53 to 4.22; P  0.0001 ; I2  32; 5 RCTs; n  264), decreased the need for additional respiratory support (RR, 0.43; 95 CI, 0.21 to 0.88; P  0.02 ; I2  0; 3 RCTs; n  305), and shortened the hospital LOS (MD, 0.31; 95 CI, 0.57 to 0.04; P  0.02 ; I2  0; 3 RCTs; n  214)."
item_TEXITEG5,Efficacy of High-Flow Nasal Cannula versus Conventional Oxygen Therapy in Obese Patients during the Perioperative Period: A Systematic Review and Meta-Analysis,Rong Zhou,2022/9/20,"Results. Twelve trials with 798 obese patients during the perioperative period were included. Compared with COT, HFNC reduced the incidence of hypoxemia (RR, 0.60; 95 CI, 0.43 to 0.83; P  0.002 ; I2  24; 8 RCTs; n  458), increased the lowest SpO2 (MD, 2.88; 95 CI, 1.53 to 4.22; P  0.0001 ; I2  32; 5 RCTs; n  264), decreased the need for additional respiratory support (RR, 0.43; 95 CI, 0.21 to 0.88; P  0.02 ; I2  0; 3 RCTs; n  305), and shortened the hospital LOS (MD, 0.31; 95 CI, 0.57 to 0.04; P  0.02 ; I2  0; 3 RCTs; n  214)."
item_QMTQDTLC,Efficacy of high-flow nasal oxygenation against peri- and post-procedural hypoxemia in patients with obesity: a meta-analysis of randomized controlled trials.,Kuo-Chuan Hung,2022 Apr 19,"Ten randomized controlled trials (RCTs) were included. We found that HFNO prolonged the safe apnea time at induction compared to control group mean difference (MD)  73.88 s, p  0.0004; 2 RCTs with no difference in risk of peri-procedural hypoxemia relative risk (RR)  0.91, p  0.64; 4 RCTs, minimum SpO2 (MD  0.09, p  0.95; 4 RCTs), PaO2 (MD  - 8.13 mmHg, p  0.86; 3 RCTs), PaCO2 (MD  - 6.71, p  0.2; 2 RCTs), EtCO2 (MD  - 0.28 mmHg, p  0.8; 4 RCTs) between the two groups. HFNO also did not improve postprocedural PaO2FiO2 ratio (MD  41.76, p  0.58; 2 RCTs) and PaCO2 (MD  - 2.68 mmHg, p  0.07; 2 RCTs)."
item_MQRBRVMW,High flow nasal cannula for patients undergoing bronchoscopy and gastrointestinal endoscopy: A systematic review and meta-analysis.,Yuan Tao,2022,"RESULTS: We included 15 randomized controlled trials (7 bronchoscopy, 8 gastrointestinal endoscopy). Patients receiving HFNC during endoscopic procedures had a significantly lower risk of hypoxemia (defined as SpO(2)  90) versus COT group (risk ratio  0.32; 95CI (0.22-0.47), 13 studies, 4,093 patients, moderate-quality evidence, I (2)  48.82, P  0.001). The lowest SpO(2) was significantly higher in HFNC group (mean difference  4.41; 95CI (2.95-5.86), 9 studies, 1,449 patients, moderate-quality evidence, I (2)  81.17, P  0.001) than those receiving COT. No significant difference was detected between groups in end-procedure partial pressure of CO(2) (standard mean difference  -0.18; 95CI (-0.52-0.15), 5 studies, 238 patients, moderate-quality evidence, I (2)  42.25, P  0.29). Patients receiving HFNC were associated a lower need for airway intervention (risk ratio  0.45; 95CI (0.24-0.84), 8 studies, 2,872 patients, moderate-quality evidence, I (2 ) 85.97, P  0.01) and less procedure interruption (risk ratio  0.36; 95CI (0.26-0.51), 6 studies, 1,562 patients, moderate-quality evidence, I (2)  0.00, P  0.001). The overall intubation rate after endoscopy was 0.20 in both group, with no difference detected (risk ratio  1.00; 95CI (0.30-3.35), 7 studies, 2,943 patients, low-quality evidence, I (2)  0.00, P  1.00)."
item_RLIJGZYI,High flow nasal oxygen versus conventional oxygen therapy in gastrointestinal endoscopy with conscious sedation: Systematic review and meta-analysis with trial sequential analysis.,Wan-Jie Gu,2022 Sep,"RESULTS: Eight trials with 3212 patients were included. Compared with COT, HFNO significantly reduced the risk of hypoxemia (eight trials; 3212 patients; risk ratio 0.30; 95 confidence interval CI 0.13-0.70). Trial sequential analysis showed that the cumulative Z curve did not cross the monitoring or futility boundaries, nor reach the required information size line, indicating that more trials are needed to reach a definitive conclusion. Subgroup analyses indicated the superiority of HFNO over COT with respect to hypoxemia in patients at low risk and high risk. HFNO further improved the lowest oxygen saturation (four trials; 459 patients; mean difference 2.30, 95 CI 0.84-3.77)."
item_E829SD9R,High-Flow Nasal Cannula for Apneic Oxygenation in Obese Patients for Elective Surgery: A Systematic Review and Meta-Analysis,Matthew R. Bright,23-Mar,"RESULTS: Six studies including 351 participants were eligible for analysis. There was no difference in odds of oxygen desaturation 92% between HFNC and FM (odds ratio OR, 0.49; 95% confidence interval CI, 0.15每1.63; P  .24). The HFNC group had a significantly longer safe apnea time (mean difference MD, 每124.20 with 95% CI, 每200.47 to 47.93; P  .001). There was no difference between HFNC and FM in the lowest arterial oxygen content (MD, 23.90; 95% CI, 88.64 to 40.85; P  .47) and the lowest peripheral oxygenation saturation (MD, 0.47 with 95% CI, 每5.07 to 4.12; P  .84). HFNC had a lower odd of discomfort than FM (OR, 0.13; 95% CI, 0.03每0.52; P  .004). There was no difference in the odds of aspiration of gastric contents between HFNC and FM (OR, 0.33; 95% CI, 0.01每8.21; P  .50). The risk of bias for our primary and secondary outcomes was low. The GRADE assessment for our primary outcome indicated a low level of certainty. For secondary outcomes, the GRADE assessment indicated a very low certainty for all outcomes except for patient discomfort, which was indicated as a moderate level of certainty. "
item_D58FMDWD,High-flow nasal cannula for pre- and apneic oxygenation during rapid sequence induction intubation in emergency surgery: A systematic review and meta-analysis,Hong Tang,2025/1/24,"six studies, involving a total of 703 patients. HFNC oxygen therapy demonstrated a significant increase in post-intubation arterial PaO2 compared to FM (mean difference  63.02 mmHg, 95 CI: 8.99 to 117.05, p  0.02), while no significant difference was observed in arterial PaCO2. Moreover, HFNC substantially prolonged apnea time (mean difference  19.25 seconds, 95 CI: 1.69 to 36.82, p  0.03). No statistically significant differences were found between HFNC and FM regarding EtCO2, incidence of desaturation, Lowest SpO2, or regurgitant aspiration."
item_A762V2P9,High-flow nasal cannula for reducing hypoxemic events in patients undergoing bronchoscopy: A systematic review and meta-analysis of randomized trials.,Chien-Ling Su,2021,"RESULTS: Five trials involving 257 patients were reviewed. The incidence of hypoxemic events was lower in the HFNC group than in the conventional oxygen therapy group (risk ratio, 0.25; 95 confidence interval CI, 0.14-0.42). The lowest SpO2 during the procedure was significantly higher in the HFNC group than in the conventional oxygen therapy group (weighted mean difference WMD, 7.12; 95 CI, 5.39-8.84). PaO2 at the end of the procedure was significantly higher in the HFNC group than in the conventional oxygen therapy group (WMD, 20.36; 95 CI, 0.30-40.42). The incidence of interrupted bronchoscopy due to desaturation, PaCO2 and EtCO2 at the end of the procedure, and the incidence of intubation after the procedure were not significantly different between groups."
item_THWZ5UT5,High-Flow Nasal Cannula in the Immediate Postoperative Period,Dipayan Chaudhuri,112020,NA
item_8GV2MCBR,High-flow nasal cannula oxygen therapy vs conventional oxygen therapy in cardiac surgical patients: A meta-analysis.,Youfeng Zhu,2017 Apr,"RESULTS: We included 495 adult postextubation cardiac surgical patients. There was no significant heterogeneity among the studies. Compared with COT, HFNCs were associated with a significant reduction in the escalation of respiratory support (risk ratio, 0.61; 95 confidence interval CI, 0.46-0.82; z  3.32, P  .001). There were no significant differences in the reintubation rate (risk ratio, 0.96; 95 CI, 0.04-24.84; z  0.02, P  .98) or length of intensive care unit stay (weighted mean difference, 0.13; 95 CI, -0.88 to 7.92; z  1.57, P  .12) between the 2 groups. No severe complications were reported in either group."
item_ZMD9KKSB,High-flow nasal cannula therapy versus conventional oxygen therapy for adult patients after cardiac surgery: A systemic review and meta-analysis.,Chuantao Liu,2024 Jun-Aug,"RESULTS: The meta-analysis included nine studies, consisting of eight RCTs and one crossover study. Compared with COT, HFNC could reduce the need for escalation of respiratory support (RR 0.67, 95 CI: 0.48 to 0.93, P  0.02), decrease arterial partial pressure of carbon dioxide (PaCO(2)) levels (MD -3.14, 95 CI: -4.90 to -1.39, P0.001), and increase forced expiratory volume in 1 second (FEV(1)) levels (MD 0.08, 95 CI: 0.02 to 0.15, P  0.02). There was no significant difference between the HFNC and COT groups in terms of mortality, intubation rate, respiratory rate, heart rate, intensive care unit and hospital length of stay, arterial partial pressure of oxygen (PaO(2)), forced vital capacity, and complications of atrial fibrillation and delirium."
item_2A4QCV88,High-flow Nasal Cannula versus Conventional Ventilation in Laryngeal Surgery: A Systematic Review and Meta-analysis,Kai Chun Chan,2023/5/5,NA
item_CTVBL3UM,High-flow nasal oxygenation during gastrointestinal endoscopy. Systematic review and meta-analysis.,Michele Carron,2022 Dec,"RESULTS: A total of 2867 patients from six randomised controlled trials were considered. Desaturation was observed in 5.2 and 27.2 of patients receiving HFNO and COT, respectively. Desaturation 90 was observed in 1.8 and 12.6 of the patients receiving HFNO and COT, respectively. In the subgroup analysis, desaturation occurrence was lower during HFNO than during COT in non-obese patients (2.2 vs 25.2) and obese patients (22.9 vs 43.3). Desaturation occurrence was lower during maximum (3.6 vs 26.9) and minimum (15.9 vs 29.8) HFNO therapy than during COT. HFNO showed a lower recurrence to rescue manoeuvres rate (4.7 vs 34.3), a lower procedure interruption rate (0.4 vs 6.7), and a lower adverse events rate (18.7 vs 21) than COT. A high level of heterogeneity between the studies precluded confidence in drawing inference from the meta-analysis."
item_S3BTL4MY,High-flow nasal oxygenation reduces the risk of desaturation in adults receiving procedural sedation: a meta-analysis of randomized controlled trials.,Hsin-Yi Liu,2021 Dec 6,"RESULTS: Six trials with a total of 2633 patients were reviewed. Patients using HFNO compared with standard oxygen therapy had a significantly lower risk of intraprocedural desaturation risk ratio 0.18, 95 confidence interval (CI) 0.04-0.87. The lowest intraprocedural SpO(2) in HFNO group was significantly higher than that in standard oxygen therapy group (mean difference 4.19, 95 CI 1.74-6.65)."
item_APKR2BQ3,High-flow versus conventional nasal cannula oxygen supplementation therapy and risk of hypoxia in gastrointestinal endoscopies: a systematic review and meta-analysis.,Michael Doulberis,2022 Mar,"RESULTS: Out of 271 articles, five RCTs were eligible (patients n2656, HFNC 1299 and CNC 1357). A statistically significant reduced relative risk (RR) of hypoxemia among HFNC patients was revealed (RR0.18, CI95: 0.05-0.61), whilst with high heterogeneity (I2:79.94, p0.01). Patients undergoing upper GIE with HFNC displayed a significantly lower hypoxemia risk (96, p0.001, I2:15.59), even after exclusion of endoscopic retrograde cholangiopancreatography cases (RR:0.03, CI95:0.01-0.21), albeit with higher heterogeneity (I2:41.82)."
item_S9W6C82Y,High-Flow vs. Low-Flow Nasal Cannula in Reducing Hypoxemic Events During Bronchoscopic Procedures: A Systematic Review and Meta-Analysis,Fotios Sampsonas,2022/2/24,"Results Six randomized control trials with 1,170 patients were included in this meta-analysis. Patients who underwent bronchoscopy with the use of high-flow nasal cannula experienced less hypoxemic eventsdesaturations, less procedural interruptions and pneumothoraxes compared to patients under low-flow nasal cannula treatment. This beneficial effect of HFNC in hypoxemic events was persistent 10 min after the end of procedure."
item_TJAN9VTM,Meta-analysis comparing the efficiency of high-flow nasal cannula versus low-flow nasal cannula in patients undergoing endoscopic retrograde cholangiopancreatography,Mohamed Gamal,2022,"Our meta-analysis included three randomized controlled trials with 390 participants, 196 in the high-flow oxygen (HFNC) group and 194 in the low-flow oxygen (LFNC) group. Their ages ranged from 65.3 to 79 years. The pooled effect estimate showed that HFNC decreased the incidence of hypoxia during the procedure when compared to LFNC (odds ratio 0.84; 95 confidence interval CI 1.65, 0.02; P  0.04), and the mean of lowest oxygen saturation in patients during sedation was significantly lower in LFNC compared to HFNC (mean difference 2.34; 95 CI 1.35, 3.32; P  0.001). The pooled effect estimate showed that the HFNC group had a lower incidence rate of jaw thrusting adverse events during anesthesia than the LFNC group (risk difference 0.12; 95 CI 0.21, 0.04; P  0.001)"
item_5Q2UGEJL,Moderate Certainty Evidence Suggests the Use of High-Flow Nasal Cannula Does Not Decrease Hypoxia When Compared With Conventional Oxygen Therapy in the Peri-Intubation Period: Results of a Systematic Review and Meta-Analysis,Dipayan Chaudhuri,42020,"We included 10 randomized clinical trials ( n  1,017 patients). High-flow nasal cannula had no effect on the occurrence rate of peri-intubation hypoxemia (relative risk, 0.98; 95% CI, 0.68每1.42; 0.3% absolute risk reduction, moderate certainty), serious complications (relative risk, 0.87; 95% CI, 0.71每1.06), apneic time (mean difference, 10.3 s higher with high-flow nasal cannula; 95% CI, 11.0 s lower to 31.7 s higher), Pa o 2 measured after preoxygenation (mean difference, 3.6 mm Hg higher; 95% CI, 3.5 mm Hg lower to 10.7 mm Hg higher), or Pa o 2 measured after intubation (mean difference, 27.0 mm Hg higher; 95% CI, 13.2 mm Hg lower to 67.2 mm Hg higher), when compared with conventional oxygen therapy. There was also no effect on postintubation Pa co 2 , ICU length of stay, or 28-day mortality. "
item_H3HCA4T5,Noninvasive respiratory support after extubation: a systematic review and network meta-analysis.,Annalisa Boscolo,2023 Jun 30,"RESULTS: 32 RCTs entered the quantitative analysis (5063 patients). Compared with conventional oxygen therapy, NRS overall reduced re-intubations and VAP (moderate certainty). NIV decreased hospital mortality (moderate certainty), and hospital and ICU LOS (low and very low certainty, respectively), and increased discomfort (moderate certainty). Prophylactic NRS did not prevent extubation failure in low-risk or hypoxaemic patients."
item_D9CQ66M5,Peri-operative use of high-flow nasal oxygen in obstetric patients: a systematic review.,Robert Craig,2025 Oct,"RESULTS: A total of 649 abstracts were screened with 11 articles included. There was variation in pre-oxygenation strategies and primary outcomes. Available evidence suggests that high-flow nasal oxygen was not superior to facemask pre-oxygenation in achieving target end-tidal oxygen concentrations. High-flow nasal oxygen may increase the partial pressure of oxygen in arterial blood, but the evidence of increased apnoea time was inconsistent. There were no reported adverse maternal effects or differences in neonatal Apgar scores, umbilical cord gases or fetal heart rate assessments."
item_GEMNBZGW,Perioperative Lung Protection: General Mechanisms and Protective Approaches,Lorenzo Ball,20-Dec,"We also conducted a systematic review and meta-analysis of randomized controlled trials in noncardiothoracic surgery focusing on the following aspects: preoperative physiotherapy, intraoperative protective mechanical ventilation, postoperative prophylactic continuous positive airway pressure (CPAP) or high-flow nasal cannula (HFNC), and postoperative physiotherapy. Both preoperative physiotherapy (relative risk RR, 0.49, 95 confidence interval CI, 0.35-0.69, P  .01) and postoperative CPAP (RR, 0.53, 95 CI, 0.30-0.94, P  .029) reduced the incidence of PPCs. Intraoperative protective mechanical ventilation had unclear effects (RR, 0.90, 95 CI, 0.77-1.06, P  .22). No benefits were observed for HFNC (RR, 0.88, 95 CI, 0.70-1.11, P  .30) and physiotherapy regimens administered in the postoperative period only (RR, 0.89, 95 CI, 0.69-1.16, P  .40)."
item_7JLC2J4F,Perioperative oxygen therapy: an overview of systematic reviews and meta-analyses.,Adel Elfeky,2025 Jun 6,"RESULTS: Fifty-nine systematic reviews met the inclusion criteria, from which five anchoring reviews were selected. Perioperative high fraction of inspired oxygen (Fio(2), 80), compared with a low Fio(2) (30-35), may reduce the incidence of SSI slightly (risk ratio RR 0.87, 95 confidence interval CI 0.76-1.01; risk difference RD 1.6 lower, 3 lower to 0.1 higher), but the evidence is very uncertain. High inspired oxygen may result in little to no difference in mortality (RR 1.17, 95 CI 0.77-1.78, RD 0.3 higher, 0.4 lower to 1.3 higher), based on low-certainty evidence. The evidence suggests that high Fio(2) results in a large increase in the incidence of atelectasis (RR 1.47, 95 CI 1.20-1.79, RD 6.5 higher, 2.8 higher to 10.9 higher, low-certainty evidence). Postoperative noninvasive ventilation (NIV) does not reduce mortality compared with conventional oxygen therapy (COT; RR 0.91, 95 CI 0.62-1.32, RD 0.1 lower, 0.6 lower to 0.5 higher), based on high-certainty evidence. Low-certainty evidence suggests that postoperative high-flow nasal oxygen (HFNO) compared with COT does not reduce mortality (RR 0.78, 95 CI 0.27-2.24, RD 0.4 lower, 1.4 lower to 2.4 higher)."
item_TFNKBJWH,Routine postoperative noninvasive respiratory support and pneumonia after elective surgery: a systematic review and meta-analysis of randomised trials.,Sara Hui,2022 Feb,"RESULTS: From 18 513 records, we included 38 trials consisting of 9782 patients. Pneumonia occurred in 2144403 (4.9) patients receiving noninvasive respiratory support compared with 2163937 (5.5) receiving standard care (RD -0.01 95 confidence interval: -0.02 to 0.00; I(2)8; P0.23). Postoperative pulmonary complications occurred in 3931379 (28) patients receiving noninvasive respiratory support compared with 280902 (31) receiving standard care (RD -0.11 -0.23 to 0.01; I(2)79; P0.07)."
item_BYS3BR8X,Should We Use High-Flow Nasal Cannula in Patients Receiving Gastrointestinal Endoscopies? Critical Appraisals through Updated Meta-Analyses with Multiple Methodologies and Depiction of Certainty of Evidence.,Chi Chan Lee,2022 Jul 3,"Results: Eight RCTs were included. Compared to COT, HFNC did not reduce the overall incidence of hypoxemia (RR 0.51; 95 CI 0.24-1.09; CoE: very low) but might reduce the incidence of hypoxemia in patients at moderate to high risk for hypoxemia (RR 0.54; 95 CI 0.31-0.96; and CoE: very low). HFNC might reduce the incidence of severe hypoxemia (RR 0.38; 95 CI 0.20-0.74; and CoE: low). HFNC might not affect the need of minor airway interventions (RR 0.31; 95 CI 0.08-1.22; and CoE: very low) and had no effect on procedure duration (CoE: very low)"
